PREGUNTA,A,B,C,D,E,F,RESPUESTA_CORRECTA
"What are the responsibilities of Snowflake's Cloud Service layer? (Choose three.)","A. Authentication  ","B. Resource management  ","C. Virtual warehouse caching","D. Query parsing and optimization  ","E. Query execution","F. Physical storage of micro-partitions","A,C,D"
"How long is the Fail-safe period for temporary and transient tables?","A. There is no Fail-safe period for these tables.","B. 1 day","C. 7 days","D. 31 days","E. 90 days","","A"
"Which command should be used to download files from a Snowflake stage to a local folder on a client's machine?","A. PUT","B. GET","C. COPY","D. SELECT","","","B"
"How does Snowflake Fail-safe protect data in a permanent table?","A. Fail-safe makes data available up to 1 day, recoverable by user operations.","B. Fail-safe makes data available for 7 days, recoverable by user operations.","C. Fail-safe makes data available for 7 days, recoverable only by Snowflake Support.  ","D. Fail-safe makes data available up to 1 day, recoverable only by Snowflake Support.","","","C"
"A virtual warehouse is created using the following command:Create warehouse my_WH with -warehouse_size = MEDIUMmin_cluster_count = 1max_cluster_count = 1auto_suspend = 60auto_resume = true;The image below is a graphical representation of the warehouse utilization across two days.What action should be taken to address this situation?","A. Increase the warehouse size from Medium to 2XL.","B. Increase the value for the parameter MAX_CONCURRENCY_LEVEL.","C. Configure the warehouse to a multi-cluster warehouse.  ","D. Lower the value of the parameter STATEMENT_QUEUED_TIMEOUT_IN_SECONDS.","","","B"
"Which minimum Snowflake edition allows for a dedicated metadata store?","A. Standard","B. Enterprise","C. Business Critical","D. Virtual Private Snowflake  ","","","D"
"Network policies can be set at which Snowflake levels? (Choose two.)","A. Role","B. Schema","C. User  ","D. Database","E. Account  ","F. Tables","C,E"
"What are the correct parameters for time travel and fail-safe in the Snowflake Enterprise Edition?","A. Default Time Travel Retention is set to 0 days. Maximum Time Travel Retention is 30 days. Fail Safe retention time is 1 day.","B. Default Time Travel Retention is set to 1 day. Maximum Time Travel Retention is 365 days. Fail Safe retention time is 7 days.","C. Default Time Travel Retention is set to 0 days. Maximum Time Travel Retention is 90 days. Fail Safe retention time is 7 days.","D. Default Time Travel Retention is set to 1 day. Maximum Time Travel Retention is 90 days. Fail Safe retention time is 7 days.  ","E. Default Time Travel Retention is set to 7 days. Maximum Time Travel Retention is 1 day. Fail Safe retention time is 90 days.","F. Default Time Travel Retention is set to 90 days. Maximum Time Travel Retention is 7 days. Fail Safe retention time is 356 days.","D"
"Which of the following objects are contained within a schema? (Choose two.)","A. Role","B. Stream  ","C. Warehouse","D. External table  ","E. User","F. Share","B,D"
"Which of the following statements describe features of Snowflake data caching? (Choose two.)","A. When a virtual warehouse is suspended, the data cache is saved on the remote storage layer.","B. When the data cache is full, the least-recently used data will be cleared to make room.  ","C. A user can only access their own queries from the query result cache.","D. A user must set USE_METADATA_CACHE to TRUE to use the metadata cache in queries.","E. The RESULT_SCAN table function can access and filter the contents of the query result cache.  ","","B,E"
"A table needs to be loaded. The input data is in JSON format and is a concatenation of multiple JSON documents. The file size is 3 GB. A warehouse size S is being used. The following COPY INTO command was executed:COPY INTO SAMPLE FROM @~/SAMPLE.JSON (TYPE=JSON)The load failed with this error:Max LOB size (16777216) exceeded, actual size of parsed column is 17894470.How can this issue be resolved?","A. Compress the file and load the compressed file.","B. Split the file into multiple files in the recommended size range (100 MB - 250 MB).","C. Use a larger-sized warehouse.","D. Set STRIP_OUTER_ARRAY=TRUE in the COPY INTO command.  ","","","B"
"What is a feature of a stored procedure in Snowflake?","A. They can be created as secure and hide the underlying metadata from all users.","B. They can access tables from a single database.","C. They can only contain a single SQL statement.","D. They can be created to run with a caller's rights or an owner's rights.  ","","","D"
"Which columns are part of the result set of the Snowflake LATERAL FLATTEN command? (Choose two.)","A. CONTENT","B. PATH  ","C. BYTE_SIZE","D. INDEX  ","E. DATATYPE","","B,D"
"What is the minimum Snowflake edition required to create a materialized view?","A. Standard Edition","B. Enterprise Edition  ","C. Business Critical Edition","D. Virtual Private Snowflake Edition","","","B"
"Which Snowflake function will interpret an input string as a JSON document, and produce a VARIANT value?","A. parse_json()  ","B. json_extract_path_text()","C. object_construct()","D. flatten","","","A"
"How are serverless features billed?","A. Per second multiplied by an automatic sizing for the job  ","B. Per minute multiplied by an automatic sizing for the job, with a minimum of one minute","C. Per second multiplied by the size, as determined by the SERVERLESS_FEATURES_SIZE account parameter","D. Serverless features are not billed, unless the total cost for the month exceeds 10% of the warehouse credits, on the account","","","A"
"Which Snowflake architectural layer is responsible for a query execution plan?","A. Compute","B. Data storage","C. Cloud services  ","D. Cloud provider","","","A"
"When unloading to a stage, which of the following is a recommended practice or approach?","A. Set SINGLE = TRUE for larger files.","B. Use OBJECT_CONSTRUCT(*) when using Parquet.","C. Avoid the use of the CAST function.","D. Define an individual file format.  ","","","D"
"Which SQL commands, when committed, will consume a stream and advance the stream offset? (Choose two.)","A. UPDATE TABLE FROM STREAM  ","B. SELECT FROM STREAM","C. INSERT INTO TABLE SELECT FROM STREAM  ","D. ALTER TABLE AS SELECT FROM STREAM","E. BEGIN COMMIT","","A,C"
"Which methods can be used to delete staged files from a Snowflake stage? (Choose two.)","A. Use the DROP command after the load completes.","B. Specify the TEMPORARY option when creating the file format.","C. Specify the PURGE copy option in the COPY INTO  command.","D. Use the REMOVE command after the load completes.","E. Use the DELETE LOAD HISTORY command after the load completes.","","C,D"
"On which of the following cloud platforms can a Snowflake account be hosted? (Choose three.)","A. Amazon Web Services","B. Private Virtual Cloud","C. Oracle Cloud","D. Microsoft Azure Cloud","E. Google Cloud Platform","F. Alibaba Cloud Reveal","A,D,E"
"What Snowflake role must be granted for a user to create and manage accounts?","A. ACCOUNTADMIN","B. ORGADMIN","C. SECURITYADMIN","D. SYSADMIN","","","B"
"Assume there is a table consisting of five micro-partitions with values ranging from A to Z. Which diagram indicates a well-clustered table?","A. imagen","B. imagen","C. imagen","D. imagen","","","A"
"What feature can be used to reorganize a very large table on one or more columns?","A. Micro-partitions","B. Clustering keys","C. Key partitions","D. Clustered partitions","","","B"
"What is an advantage of using an explain plan instead of the query profiler to evaluate the performance of a query?","A. The explain plan output is available graphically.","B. An explain plan can be used to conduct performance analysis without executing a query.","C. An explain plan will handle queries with temporary tables and the query profiler will not.","D. An explain plan's output will display automatic data skew optimization information.","","",""
